Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-07-27,10,9,9,10,13,12,12,12,14,13,11,14,19,17,16,17,16,15,15,18,16,22,21,12
2021-07-28,8,10,9,9,8,8,9,10,16,13,13,12,10,10,12,10,8,6,5,5,4,4,5,4
2021-07-29,5,6,7,6,5,5,7,7,6,9,11,11,10,9,10,12,15,17,19,19,18,15,15,12
2021-07-30,11,11,12,11,8,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-07-31,1,1,1,2,3,3,2,2,3,3,3,2,2,3,5,5,4,2,2,4,7,8,7,7
2021-08-01,8,9,8,9,11,11,10,7,6,4,5,6,9,10,9,5,4,2,3,5,6,6,7,5
2021-08-02,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,6
2021-08-03,8,5,4,5,5,6,6,3,5,9,13,14,11,9,9,8,6,6,8,10,9,7,6,7
2021-08-04,7,8,8,11,13,13,12,12,9,8,8,8,6,5,4,5,8,9,9,6,6,10,11,13
2021-08-05,16,14,13,12,12,13,13,11,10,14,17,18,17,17,14,14,10,10,12,13,12,13,15,14
2021-08-06,12,11,11,11,10,10,9,5,5,11,17,19,22,17,15,14,15,17,13,12,15,16,17,16
2021-08-07,15,15,17,18,16,15,13,12,13,14,14,15,17,17,15,13,13,13,12,12,12,14,13,12
2021-08-08,15,19,21,20,19,20,31,29,21,13,11,9,11,10,9,9,12,12,11,12,17,19,18,17
2021-08-09,16,17,16,16,16,15,15,16,15,15,15,14,12,12,12,10,11,13,13,13,16,19,18,16
2021-08-10,17,16,17,18,14,14,13,12,12,9,9,10,7,8,9,8,11,11,9,5,4,4,6,7
2021-08-11,8,14,17,15,9,6,4,3,4,6,7,5,4,7,8,11,12,11,7,4,4,7,8,7
2021-08-12,9,8,11,12,7,4,4,5,4,4,4,4,5,6,3,2,2,4,7,6,7,9,7,8
2021-08-13,8,6,5,5,7,7,6,7,8,10,10,9,10,13,13,14,10,9,9,7,6,3,2,2
2021-08-14,2,2,3,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2
2021-08-15,5,6,4,4,4,3,2,2,3,2,2,2,2,3,3,4,6,5,4,3,3,4,3,3
2021-08-16,3,3,5,5,3,3,3,3,2,2,4,6,7,7,9,9,11,11,9,7,7,6,5,7
2021-08-17,8,9,11,11,12,11,12,15,15,18,16,17,12,6,2,4,5,6,9,11,11,10,8,6
2021-08-18,3,2,4,8,10,9,13,14,13,9,11,11,8,8,7,5,7,5,4,5,5,5,3,3
2021-08-19,4,4,4,4,8,9,6,6,9999,13,13,12,12,14,12,12,12,12,13,13,10,8,8,8
2021-08-20,8,7,8,7,8,11,11,10,12,15,16,18,18,16,16,16,13,11,11,12,14,13,9,9
2021-08-21,9,8,7,10,11,14,14,17,17,14,14,14,16,15,15,13,11,8,7,7,5,8,11,14
2021-08-22,16,19,18,17,15,15,15,8,6,7,8,11,12,13,11,10,11,8,8,7,8,8,8,7
2021-08-23,9,11,9,10,10,9,10,11,10,9,9,9,7,6,5,5,13,13,14,13,13,13,13,13
2021-08-24,13,13,4,2,2,2,3,4,6,7,9,12,14,9,8,8,7,5,2,2,6,8,8,9
2021-08-25,9,9,11,14,15,14,14,14,11,8,7,9,6,2,2,2,3,3,3,5,8,8,5,4
2021-08-26,6,5,5,3,3,4,6,7,9,10,11,15,17,11,10,13,17,13,13,15,13,12,12,12
2021-08-27,14,12,11,6,4,5,5,4,4,4,3,3,4,3,2,2,2,3,5,3,2,2,6,4
2021-08-28,2,2,1,1,1,3,4,3,4,6,7,5,2,5,5,3,2,2,5,10,11,10,9,9
2021-08-29,10,12,13,9,7,10,15,16,14,12,13,15,16,16,15,16,17,17,16,14,7,7,7,6
2021-08-30,3,5,7,8,8,9,10,10,9,11,10,7,6,4,2,2,2,2,2,2,2,2,2,3
2021-08-31,4,5,6,6,3,2,2,2,2,2,2,2,2,3,5,4,2,2,2,2,2,2,2,3
