Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-07-27,7,8,9,11,10,11,9,9,8,10,11,12,16,14,14,14,10,9,11,16,18,16,14,14
2021-07-28,13,14,15,15,19,17,17,16,14,14,12,9,9,9,10,9,10,9,8,7,5,4,5,5
2021-07-29,5,6,7,9,8,6,6,7,10,8,9,9,8,9,10,11,12,11,11,13,14,12,12,12
2021-07-30,12,15,15,12,8,6,4,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2
2021-07-31,2,2,2,2,2,3,2,2,2,2,2,2,2,3,5,4,6,6,5,2,6,10,9,8
2021-08-01,7,7,8,12,12,11,5,4,3,4,4,5,6,6,4,4,2,2,2,2,3,4,5,6
2021-08-02,5,4,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5
2021-08-03,9,9,9,10,10,9,4,2,2,5,9,9,11,11,8,8,6,6,5,4,2,3,6,7
2021-08-04,8,13,12,11,12,10,10,8,6,9,12,11,11,11,7,7,7,7,7,8,8,4,3,8
2021-08-05,13,16,17,15,16,16,18,14,11,9,11,15,16,10,9,9,10,11,6,8,10,10,12,13
2021-08-06,16,17,17,17,18,17,13,10,6,8,13,20,22,19,16,14,13,14,13,15,16,16,16,16
2021-08-07,17,17,18,17,17,16,15,14,13,10,9,11,11,10,9,8,7,8,11,13,17,19,24,28
2021-08-08,30,31,33,21,15,11,17,30,27,24,13,11,10,9,8,8,9,11,12,13,14,17,18,16
2021-08-09,17,20,23,20,20,22,20,15,13,11,11,11,13,12,11,11,11,12,10,11,13,14,15,15
2021-08-10,15,18,19,16,14,13,12,10,9,8,8,8,7,6,6,7,7,8,7,5,4,4,4,4
2021-08-11,5,6,7,8,7,9,7,6,5,7,10,11,9,7,6,4,5,8,11,8,6,8,11,11
2021-08-12,9,8,9,8,8,8,6,5,4,3,3,2,3,5,8,9,9,7,-999,-999,-999,-999,-999,-999
2021-08-12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,8,8,8,8,6,8,10,8,6,3,2
2021-08-14,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,5,4,5
2021-08-15,6,7,8,7,6,5,4,3,2,2,2,2,2,2,2,2,3,3,3,4,3,2,3,5
2021-08-16,8,8,8,8,8,7,5,3,3,3,4,5,5,4,6,5,4,4,5,7,6,4,2,3
2021-08-17,2,3,5,7,9,9,7,6,5,5,5,6,5,5,5,5,5,4,6,7,7,9,11,13
2021-08-18,13,10,8,9,10,10,8,11,10,14,14,14,12,5,5,6,5,4,3,3,3,4,4,7
2021-08-19,10,9,7,6,6,7,7,7,6,7,5,3,4,6,6,6,5,6,5,7,8,7,7,8
2021-08-20,9,9,9,11,13,12,12,8,7,7,9,9,9,11,12,12,9,8,9,11,13,12,10,11
2021-08-21,11,12,12,19,15,11,10,11,15,17,20,17,16,16,12,11,11,9,7,6,7,7,8,12
2021-08-22,14,16,17,16,16,14,13,14,10,10,11,11,11,10,10,10,11,13,10,11,12,15,14,12
2021-08-23,13,13,13,13,14,14,13,10,10,11,11,11,11,11,9,9,9,8,5,4,3,5,7,8
2021-08-24,7,7,8,10,11,10,8,4,5,5,6,5,5,4,3,4,2,2,3,2,2,2,4,4
2021-08-25,5,6,7,8,9,11,11,10,9,10,12,12,10,8,10,9,7,8,8,9,9,9,8,6
2021-08-26,7,7,7,8,8,9,8,7,6,5,6,7,7,8,7,9,15,11,11,12,11,14,16,15
2021-08-27,11,7,7,7,7,7,8,8,9,7,4,5,4,3,4,3,2,2,2,3,3,2,3,5
2021-08-28,5,4,5,4,5,6,6,5,3,2,2,3,4,6,7,7,7,10,9,8,9,9,9,8
2021-08-29,9,13,12,8,8,11,11,10,8,9,9,10,12,13,11,12,13,14,14,11,7,6,5,6
2021-08-30,6,7,7,8,10,11,10,9,12,16,14,10,9999,9999,9999,3,5,5,9,9,8,7,8,9
2021-08-31,8,8,8,6,6,7,8,8,9,9,7,8,6,5,3,2,2,2,2,2,2,2,3,3
