Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-07-27,10,10,11,11,12,11,9,8,8,7,7,6,7,8,8,8,8,8,10,10,11,13,15,15
2021-07-28,16,16,13,14,13,11,9,7,7,8,7,7,6,5,6,6,6,6,6,6,5,5,5,6
2021-07-29,5,4,4,3,2,1,2,3,3,4,5,8,8,8,8,6,5,4,3,2,2,4,8,9
2021-07-30,9,13,16,17,13,7,5,3,3,2,2,2,2,2,2,2,2,4,4,5,7,7,4,2
2021-07-31,2,3,4,6,3,1,2,1,2,3,3,4,4,5,5,6,3,3,3,6,8,7,5,4
2021-08-01,4,4,3,5,6,10,9,6,4,4,4,4,4,3,3,4,3,5,11,10,9,8,7,8
2021-08-02,9,8,3,2,4,5,4,3,4,3,3,3,3,3,2,2,2,3,3,4,4,6,6,9
2021-08-03,5,4,5,6,5,4,2,3,3,5,5,4,5,7,9,10,11,13,12,9,7,9999,7,9
2021-08-04,10,11,12,12,13,13,8,5,5,7,11,9,8,7,6,7,8,7,8,9,7,6,8,10
2021-08-05,11,11,11,10,10,10,6,3,5,10,11,9,9,10,11,15,15,19,16,13,13,13,14,15
2021-08-06,15,15,14,14,14,14,10,5,5,5,4,4,6,7,10,12,12,9,9,9,10,11,12,13
2021-08-07,14,11,11,12,13,14,12,12,11,11,12,12,12,13,8,4,4,6,6,6,7,9,10,9
2021-08-08,8,9,9,9,13,17,16,17,17,18,15,14,12,14,12,11,11,11,11,11,11,13,13,13
2021-08-09,13,12,12,13,9,10,11,15,14,13,14,14,15,16,16,16,15,15,15,15,16,15,14,13
2021-08-10,14,14,15,16,16,17,17,13,11,9,8,8,7,7,7,7,8,10,11,12,12,12,10,8
2021-08-11,7,6,6,7,7,9,10,6,4,4,6,7,7,8,9,9,8,8,9,7,7,7,8,9
2021-08-12,9,7,6,6,7,7,7,6,4,3,3,3,4,4,3,5,7,8,9,10,11,11,11,11
2021-08-13,9,9,11,9,10,10,12,12,11,11,11,12,11,10,11,11,8,8,6,4,5,6,7,8
2021-08-14,7,7,7,7,4,2,2,2,2,2,2,2,1,2,2,2,2,4,4,5,5,23,9,6
2021-08-15,3,3,3,4,3,3,3,2,3,3,3,2,2,2,2,2,3,3,4,4,4,6,7,6
2021-08-16,5,4,4,3,2,2,3,2,2,2,2,3,4,4,5,4,4,3,4,4,3,4,5,4
2021-08-17,2,2,2,2,2,3,4,5,6,7,7,6,6,6,6,6,7,6,7,7,8,8,7,7
2021-08-18,7,7,6,7,7,7,5,14,23,16,13,6,4,4,3,2,1,1,1,1,1,1,1,1
2021-08-19,1,1,2,2,2,4,5,5,6,6,5,4,5,5,5,6,6,6,7,8,7,8,9,9
2021-08-20,8,7,8,8,9,10,10,9,8,9,9,8,7,7,8,10,11,12,12,11,11,10,10,9
2021-08-21,10,11,12,11,11,11,13,14,12,13,14,12,10,9,10,9,9,8,8,8,8,9,10,10
2021-08-22,10,10,10,10,10,9,8,9,8,8,9,9,9,10,11,12,13,13,13,13,12,11,10,9
2021-08-23,8,7,8,9,9,10,10,10,12,13,12,12,11,10,7,7,7,7,8,7,6,6,6,6
2021-08-24,6,6,6,7,8,9,8,5,4,3,4,6,7,7,6,6,6,6,6,7,8,9,9,9
2021-08-25,9,10,10,9,8,7,7,11,9,10,11,13,14,16,16,15,11,9,9,10,10,10,10,9
2021-08-26,9,9,9,8,8,7,8,9,7,6,7,10,9,8,6,8,7,10,11,11,10,9,10,11
2021-08-27,11,12,11,8,6,8,10,9,9,5,4,3,3,4,3,3,3,4,4,5,6,4,5,5
2021-08-28,5,4,4,3,3,3,2,2,2,2,1,2,2,4,6,7,8,8,10,10,11,10,10,11
2021-08-29,9,9,10,9,9,9,10,12,12,9,9,11,13,12,10,5,6,9,11,9,5,6,6,5
2021-08-30,4,3,3,3,4,4,5,4,4,5,8,9,8,6,3,3,6,8,7,6,6,5,5,6
2021-08-31,8,9,9,8,7,8,9,4,3,5,6,7,7,7,6,3,3,4,5,4,4,4,4,5
