Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-07-27,7,8,8,7,9,9,11,12,14,16,16,16,17,17,17,15,17,18,19,18,19,19,17,16
2021-07-28,13,13,13,12,12,13,10,11,14,13,13,10,9,8,8,9,8,6,5,3,2,2,2,5
2021-07-29,5,4,6,6,5,5,6,10,11,11,10,12,13,13,13,13,13,13,14,14,14,11,12,10
2021-07-30,10,13,15,12,9,5,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
2021-07-31,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,6,5,2,6,6,6,6,6,6
2021-08-01,7,9,9,10,15,18,12,7,6,3,4,4,10,23,10,4,9,5,2,2,3,3,3,4
2021-08-02,3,4,3,3,3,3,3,3,3,3,2,2,1,3,3,2,1,1,2,2,3,3,4,4
2021-08-03,7,10,11,11,10,10,10,6,5,6,10,12,13,15,11,5,2,5,7,6,9,8,7,5
2021-08-04,6,9,11,11,11,12,14,15,11,12,13,10,10,11,12,13,13,13,13,14,14,14,17,17
2021-08-05,14,14,12,12,13,12,13,12,12,12,12,14,15,16,17,16,12,10,9,11,14,14,10,6
2021-08-06,6,7,6,7,9,7,6,6,7,11,20,24,17,13,10,10,12,13,12,12,12,15,14,15
2021-08-07,16,16,17,18,19,18,16,14,14,16,16,14,14,16,12,10,8,10,10,10,10,9,12,13
2021-08-08,13,14,16,16,16,17,18,17,11,10,10,12,16,16,16,14,15,15,16,14,14,16,15,15
2021-08-09,13,15,16,17,18,19,18,16,16,17,16,14,12,10,10,11,11,11,12,14,14,14,14,15
2021-08-10,16,15,14,12,12,12,12,10,10,9,11,8,6,9,10,11,11,10,11,12,13,12,12,12
2021-08-11,13,13,13,13,8,6,10,4,5,6,7,8,9,9,9,8,9,8,7,7,7,7,6,5
2021-08-12,6,7,6,6,5,5,4,3,3,4,2,2,2,3,4,5,6,7,8,8,9,10,8,8
2021-08-13,7,7,7,7,7,7,7,7,8,8,10,12,11,12,12,11,9,8,11,14,9,6,4,2
2021-08-14,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
2021-08-15,2,2,2,2,2,2,2,2,1,1,1,1,2,3,4,3,2,2,2,2,2,3,5,9
2021-08-16,9,6,5,7,7,7,6,5,3,3,6,5,7,6,6,5,6,6,7,8,8,7,8,8
2021-08-17,9,9,8,8,8,9,11,11,10,9,8,9,10,10,6,7,7,7,6,6,5,5,5,5
