Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-07-27,12,12,12,14,13,12,10,9,9,6,6,7,9,11,12,11,11,11,12,11,10,12,14,14
2021-07-28,16,17,19,16,15,16,12,10,10,10,10,10,8,6,5,5,7,3,6,8,8,6,5,5
2021-07-29,4,3,3,4,4,5,7,9,10,14,14,9,11,13,16,14,12,9,9,10,15,15,13,12
2021-07-30,13,15,14,11,7,5,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2
2021-07-31,3,3,2,3,2,2,1,1,2,2,2,2,2,3,4,4,4,4,4,5,8,8,9,9
2021-08-01,11,13,15,16,14,9,8,6,6,6,5,3,3,2,2,2,2,3,5,5,5,6,7,6
2021-08-02,6,7,6,4,3,4,3,2,4,4,4,3,2,2,2,2,3,4,3,4,5,5,6,6
2021-08-03,8,8,9,9,9,8,8,5,3,4,8,10,8,8,7,6,6,5,5,5,3,5,8,8
2021-08-04,8,12,13,12,9,8,7,6,6,10,10,8,7,7,9,9,8,9,9,8,9,9,8,6
2021-08-05,7,17,13,12,13,13,12,11,10,10,9,11,15,14,13,9,10,13,12,13,15,16,14,12
2021-08-06,11,12,16,18,17,17,14,13,10,10,10,10,12,12,12,11,14,13,15,15,17,18,17,16
2021-08-07,16,16,16,16,16,15,14,14,11,10,10,11,12,7,8,7,10,12,13,14,15,18,16,16
2021-08-08,15,15,15,14,15,14,12,10,13,16,14,18,15,12,11,10,9,11,11,11,12,13,15,16
2021-08-09,17,17,18,19,18,18,18,15,13,13,13,13,13,13,13,10,12,13,14,12,15,18,17,15
2021-08-10,14,14,15,16,17,15,14,13,10,10,10,9,9,8,8,7,7,8,8,8,7,6,6,5
2021-08-11,5,5,6,5,6,6,6,6,5,5,7,7,5,3,2,2,2,2,4,8,5,4,6,9
2021-08-12,9,7,6,5,6,6,6,5,3,2,2,2,2,3,7,7,6,4,4,4,4,5,6,7
2021-08-13,8,7,8,8,11,15,14,13,12,11,10,8,6,5,5,5,5,9,10,7,4,3,2,2
2021-08-14,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
2021-08-15,4,5,6,6,6,5,4,3,3,4,3,3,2,2,2,2,3,4,5,6,6,4,4,4
2021-08-16,6,7,8,8,6,6,6,5,3,5,6,6,5,6,7,5,5,4,5,8,8,8,7,5
2021-08-17,3,4,5,7,9,13,12,11,9,9,9,10,11,11,12,13,9,9,9,10,8,8,11,12
2021-08-18,13,23,29,23,15,11,11,11,11,12,12,18,15,11,5,5,5,5,6,4,4,5,5,5
2021-08-19,6,7,8,7,7,6,6,5,5,4,4,5,5,6,6,5,5,5,7,12,7,2,2,3
2021-08-20,3,4,5,7,8,8,8,7,7,7,7,9,10,10,10,8,8,7,8,7,9,10,10,11
2021-08-21,10,10,10,11,11,11,12,12,10,9,11,13,15,12,10,10,10,10,9,8,8,9,10,10
2021-08-22,9,9,8,10,11,11,12,9,9,8,7,6,8,7,8,9,9,7,7,8,9,10,9,8
2021-08-23,8,8,9,9,9,10,9,9,9,10,10,10,9,9,8,7,8,6,3,3,5,5,6,7
2021-08-24,7,8,9,9,10,9,7,4,3,3,5,4,2,1,2,2,3,3,2,3,5,7,7,8
2021-08-25,7,6,8,8,7,7,9,9,9,9,10,12,13,12,10,9,9,8,9,10,10,9,9,8
2021-08-26,7,6,7,7,8,10,13,13,9,8,7,6,6,7,7,8,8,9,10,9,8,8,9,10
2021-08-27,9,9,9,9,8,8,7,4,3,2,2,2,2,2,2,2,2,2,2,2,3,4,6,5
2021-08-28,2,1,1,1,1,1,1,1,1,2,2,2,2,5,8,10,7,7,8,10,12,14,12,10
2021-08-29,9,10,13,13,16,18,19,19,11,10,8,8,10,10,11,11,11,12,11,10,8,7,7,6
2021-08-30,6,6,6,6,6,8,11,9,8,7,5,2,2,2,2,2,2,3,2,2,2,3,4,4
2021-08-31,4,4,5,5,5,6,6,5,6,6,6,5,4,3,3,2,1,1,1,1,2,2,2,3
